Name	Zone Name	Level	HP	Race	Class	Position(s)
CWG Model MC	Solusek's Eye	30 - 32	1151 - 1290	Clockwork Gnome	Warrior	(-224,-1019), (-529,-704), (-428,-803), (-310,-1101), (-449,-790), (-70,-950)
CWG Model XA	Solusek's Eye	32 - 34	1319 - 1478	Clockwork Gnome	Warrior	(-297,-1116), (-111,-922), (-124,-927), (-241,-1101)
CWG Model XB	Solusek's Eye	32 - 34	1319 - 1481	Clockwork Gnome	Warrior	(-246,-1135), (-136,-972), (-308,-1071), (-283,-1112)
CWG Model XC	Solusek's Eye	32 - 34	1319 - 1439	Clockwork Gnome	Warrior	(-283,-1112), (-245,-1134), (-222,-1211)
CWS Model SX	Solusek's Eye	29 - 31	1150 - 1292	Spider, Giant	Warrior	(-373,-1088), (-322,-854), (-291,-788), (-320,-942)
Cyanelle	Lake Rathetear	25	442	Erudite	Magician	(2597,-563)
cyclops, a	Ocean of Tears	38 - 42	4835 - 4915	Giant/Cyclops	Warrior	(1389,-7708), (1008,-8021), (994,-7993)
cyclops, a	Rathe Mountains	28 - 32	1685 - 1765	Giant/Cyclops	Warrior	(2810,886), (118,459), (3626,2515), (418,1531), (3600,1924)
cyclops, a	Southern Plains of Karana	28 - 32	1685 - 1765	Giant/Cyclops	Warrior	(-6525,-740), (606,557), (1576,350), (2183,-1809), (-7587,-3075)
cyclops, a	Western Plains of Karana	29	1705	Giant/Cyclops	Warrior	(1322,-10318)
Cylas Delbrin	Lesser Faydark	25	810	Wood Elf	Warrior	(-352,1264)
Cyndreela	The Feerrott	40	1773	Erudite	Necromancer	(-2369,2604)
Cynthia	Rathe Mountains	30	627	Citizen, Qeynos	Wizard	(3960,1428)
Cyria Lorewhisper	Toxxulia Forest	45	5875	Erudite	Shopkeeper	(1800,-718)
Cyspeth Romtai	Lavastorm Mountains	35	1675	Citizen, Qeynos	Shopkeeper	(-408,929)
Cytodl Krish	Highpass Hold	25	810	Dark Elf	Shadow Knight	(389,-258)
Daedet Losaren	South Qeynos	32 - 61	1356 - 32344	Human	GM Cleric	(-175,-543)
Daenor Casthopur	South Qeynos	32 - 61	1234 - 32000	Human	GM Wizard	(282,-631)
Dalbar Tarbrind	Butcherblock Mountains	35	1675	Dwarf	Warrior	(-1306,2879)
Daleen Leafsway	Rivervale	35	1861 - 2078	Citizen, Rivervale	Shopkeeper	(-86,-342)
Dalishea	Highpass Hold	17	379	Human	Rogue	(-44,92)
Dalles Cekus	Erudin Palace	45	5875	Erudite	GM Magician	(711,921)
Dallisen Xalladyr	Qeynos Aqueduct System	45	5875	Human	Shopkeeper	(400,-309)
Damar Nislan	Neriak - Foreign Quarter	40	3250	Citizen, Qeynos	Shopkeeper	(177,-195)
Danaria Hollin	South Qeynos	20	333	Erudite	Enchanter	(-237,-9)
dancing skeleton, a	Timorous Deep	27	870	Iksar Skeleton	Warrior	(5720,3117)
Danilla Delucic	Erudin Palace	35	1675	Erudite	Shopkeeper	(502,762)
Dannis Faleet	Paineel	50	9550	Erudite	Shopkeeper	(1092,722)
Danon Fletcher	South Qeynos	45	5875	Citizen, Qeynos	Shopkeeper	(414,-258)
Dansie McVicker	Everfrost	45	5875	Citizen, Halas	Shopkeeper	(3638,697)
Danus Kelmun	Paineel	50	9550	Erudite	Shopkeeper	(690,856)
dar ghoul knight, a	Ruins of Old Guk	39 - 43	3651 - 3731	Froglok Ghoul	Warrior	(1210,-809), (682,-667), (1184,-847), (845,-1085), (1394,-734)
dar ghoul knight	Ruins of Sebilis	47	10828	Froglok Ghoul	Shadow Knight	(-1014,213)
Darfumpel Zirubbel	Rathe Mountains	40	3250	Gnome	Shopkeeper	(4093,896)
Dargon McPherson	Halas	50	27000	Barbarian	GM Warrior	(471,-449)
Dargon	Halas	45	5895	Citizen, Halas	Shopkeeper	(354,356)
Darien Felton	Neriak - Foreign Quarter	40	3250	Citizen, Qeynos	Shopkeeper	(136,-92)
Dark Assassin	Everfrost	50	14325	Human	Rogue	(-471,-2788)
Dark Assassin	The Feerrott	50	14325	Human	Rogue	(-310,2229)
dark boned skeleton	Estate of Unrest	15 - 19	450 - 530	Skeleton	Warrior	(554,56), (632,-33), (515,54), (560,-62), (665,-45)
Dark Deathsinger	Innothule Swamp	25	810	Human	Bard	(-2597,175)
dark elf noble, a	Castle Mistmoore	31 - 33	659 - 816	Dark Elf	Wizard	(-116,-104)
dark offerer, a	Castle Mistmoore	29 - 31	612 - 652	Dark Elf	Necromancer	(-204,352), (-243,190), (-224,371)
dark ritualist, a	Castle Mistmoore	33 - 35	797 - 837	Dark Elf	Necromancer	(-206,93), (-165,91), (-139,88)
dark sacrificer, a	Castle Mistmoore	31 - 33	659 - 699	Dark Elf	Necromancer	(-129,79), (-198,32), (-240,376)
dark stalker, a	Eastern Plains of Karana	15 - 17	430 - 470	Wolf	Warrior	(-768,-1269), (-1232,-764), (-2157,-549)
dark terror, a	Estate of Unrest	29 - 33	1131 - 1211	Tentacle	Warrior	(543,109), (747,81), (661,83)
dark-boned skeleton	Najena	15 - 19	450 - 530	Skeleton	Warrior	(-104,3), (-92,2), (222,297), (221,316)
darkwater piranha, a	Nektulos Forest	11 - 12	280 - 300	Piranha	Warrior	(-963,124), (-1093,-367)
darkweed snake, a	East Commonlands	8 - 10	190 - 230	Snake, Giant	Warrior	(372,2640), (878,836), (967,2883)
darkweed snake, a	Kithicor Woods	8 - 10	190 - 230	Snake, Giant	Warrior	(424,1681), (-393,1531), (128,2009)
darkweed snake, a	Southern Desert of Ro	8 - 10	190 - 230	Snake, Giant	Warrior	(-1271,1008), (-1717,715), (-1759,-573)
darkweed snake, a	West Commonlands	8 - 10	190 - 230	Snake, Giant	Warrior	(473,-335), (444,-918), (1108,3679)
Darm Dundam	Butcherblock Mountains	35	1675	Dwarf	Warrior	(2039,1476)
Darthur Nightseer	North Kaladim	38 - 42	3210 - 3290	Citizen, Kaladim	Shopkeeper	(947,143)
Dason Goldblade	Plane of Sky	55	32000	Efreeti	Warrior	(1340,564)
Datur Nightseer	North Kaladim	50 - 61	27200 - 32250	Dwarf	GM Paladin	(1337,132)
David	Rathe Mountains	26	983 - 1033	Erudite	Paladin	(2963,-824)
Davorre Bloodthorn	Paineel	50 - 61	27000 - 32000	Erudite	GM ShadowKnight	(863,444)
Dayle Jornin	Ocean of Tears	14 - 16	390 - 430	Human	Rogue	(480,-9041), (788,-9206), (902,-9563)
dazed goblin guard	Runnyeye Citadel	20 - 22	630 - 690	Goblin	Warrior	(-233,92), (-192,61), (-216,46), (187,65), (109,-75), (-207,-122)
dazed goblin miner	Runnyeye Citadel	17 - 20	530 - 570	Goblin	Warrior	(-255,-107), (88,69), (-133,-151), (-146,-145)
dazed goblin shaman	Runnyeye Citadel	18 - 27	396 - 612	Goblin	Shaman	(-213,116), (-180,125), (-221,53), (179,59), (-20,23), (-19,-20), (123,62), (-192,61)
Deadeye	Swamp Of No Hope	26	770	Citizen, Iksar	Monk	(450,1606)
deadly black widow, a	Ruins of Old Guk	30 - 32	1151 - 1191	Spider, Giant	Warrior	(923,-427), (922,-401), (958,-483)
Dealer Shonta	High Keep	20	610	Citizen, Qeynos	Shopkeeper	(-53,-323)
dealer, a	High Keep	45	5875	Citizen, Qeynos	Shopkeeper	(-69,-350)
dealer, a	Highpass Hold	45	5875	Citizen, Qeynos	Shopkeeper	(340,-243)
death beetle, a	Estate of Unrest	10 - 12	250 - 290	Beetle	Warrior	(375,109), (547,220), (503,-87)
death beetle	Nagafen's Lair	40 - 42	3671 - 3711	Beetle	Warrior	(-753,-75), (-691,-114), (-697,-150)
Deathfist Pawn	East Freeport	1 - 2	16 - 45	Orc	Warrior	(-1219,-1057), (-1183,-704), (-955,-583)
Deathfist Pawn	West Freeport	1 - 2	16 - 32	Orc	Warrior	(-277,629), (-306,716)
deathly harbinger, a	Castle Mistmoore	33 - 35	1466 - 1506	Dark Elf	Warrior	(-101,292), (-224,333), (-304,-144)
deathly herald, a	Castle Mistmoore	31 - 33	1214 - 1371	Dark Elf	Warrior	(-15,144), (-95,34), (-118,16), (-160,-125), (-253,342), (-113,-125)
deathly usher, a	Castle Mistmoore	29 - 31	1130 - 1289	Dark Elf	Warrior	(-181,153), (3,-39), (-68,80), (-111,-22), (-89,40), (30,-21)
decayed footman	Kithicor Woods	30 - 32	1151 - 1191	Skeleton	Warrior	(36,-448), (-263,1236), (70,711)
decayed kylong Iksar	Karnor's Castle	46 - 49	7914 - 7974	Iksar Skeleton	Warrior	(114,-630)
decayed prisoner	Karnor's Castle	41 - 45	4659 - 4883	Iksar Skeleton	Warrior	(97,-618), (92,-574), (92,-531), (-42,-579), (-84,-665), (75,-654), (-46,-458), (185,-531), (-15,-525), (-41,-638)
decayed prisoner	Karnor's Castle	42 - 46	5226 - 5410	Wurm	Warrior	(97,-618), (92,-574), (92,-531), (-42,-579), (-84,-665), (75,-654), (-46,-458), (185,-531), (-15,-525), (-41,-638)
decayed soldier	Karnor's Castle	46 - 50	7914 - 7994	Iksar Skeleton	Warrior	(129,-580), (127,-569), (75,-654), (-6,-616), (33,-750), (122,-678), (142,-601), (-23,-684), (183,-489), (-142,-240)
decayed soldier	Kithicor Woods	32 - 34	1319 - 1359	Skeleton	Warrior	(-263,1236), (38,-399), (47,-437)
decayed soldier	Karnor's Castle	45 - 49	7179 - 7361	Wurm	Warrior	(129,-580), (127,-569), (75,-654), (-6,-616), (33,-750), (122,-678), (142,-601), (-23,-684), (183,-489), (-142,-240)
decaying commander	Kithicor Woods	36 - 38	1462 - 1502	Skeleton	Necromancer	(1571,3214), (1529,3705), (1610,3247)
decaying dwarf skeleton, a	Butcherblock Mountains	1	16	Skeleton	Warrior	(1924,-300)
decaying footman	Kithicor Woods	32 - 34	1319 - 1359	Skeleton	Warrior	(905,4263), (1501,4218), (1101,4054)
decaying gnome skeleton, a	Ak'Anon	1	16	Skeleton	Warrior	(2003,-529)
decaying gnome skeleton, a	Steamfont Mountains	1	16	Skeleton	Warrior	(-1656,1710)
decaying healer	Kithicor Woods	35 - 37	2056 - 2100	Ghoul	Cleric	(1417,441), (1481,894), (1500,336)
decaying officer	Kithicor Woods	33	990	Skeleton	Necromancer	(1078,3038)
decaying officer	Kithicor Woods	35	1675	Skeleton	Warrior	(1448,3360), (1083,3042), (1429,4418)
decaying skeleton, a	Befallen	1	16	Skeleton	Warrior	(-199,-120)
decaying skeleton, a	East Commonlands	1	16	Skeleton	Warrior	(253,607)
decaying skeleton, a	East Freeport	1	16	Skeleton	Warrior	(-1285,-753)
decaying skeleton, a	Everfrost	1	16	Skeleton	Warrior	(680,-1703)
decaying skeleton, a	Greater Faydark	1	16	Skeleton	Warrior	(-1623,-113)
decaying skeleton, a	Innothule Swamp	1	16	Skeleton	Warrior	(-1940,1)
decaying skeleton, a	Misty Thicket	1	16	Skeleton	Warrior	(205,537)
decaying skeleton, a	Nektulos Forest	1	16	Skeleton	Warrior	(-317,-144)
decaying skeleton, a	North Qeynos	1	16	Skeleton	Warrior	(1047,-738)
decaying skeleton, a	Northern Desert of Ro	1	16	Skeleton	Warrior	(3711,757)
decaying skeleton, a	Paineel	1	16	Skeleton	Warrior	(1511,-355)
decaying skeleton, a	Qeynos Aqueduct System	1	16	Skeleton	Warrior	(851,8)
decaying skeleton, a	Qeynos Hills	1	16	Skeleton	Warrior	(4209,213)
decaying skeleton, a	Rathe Mountains	1	16	Skeleton	Warrior	(2586,-1254)
decaying skeleton, a	Steamfont Mountains	8 - 10	190 - 230	Skeleton	Warrior	(1743,-1876), (1468,-1616), (-1275,-655)
decaying skeleton, a	The Feerrott	1	16	Skeleton	Warrior	(-651,-1733)
decaying skeleton, a	Toxxulia Forest	1	16	Skeleton	Warrior	(435,511)
decaying skeleton, a	West Freeport	1	16	Skeleton	Warrior	(-246,739)
decaying skeleton	Cabilis East	1	16	Iksar Skeleton	Warrior	(553,-706)
decaying skeleton	Field of Bone	1	16	Iksar Skeleton	Warrior	(523,2202)
decaying skeleton	Lake of Ill Omen	1	16	Iksar Skeleton	Warrior	(5588,-6824)
decaying skeleton	Swamp Of No Hope	1	16	Iksar Skeleton	Warrior	(800,3179)
decaying skeleton	Warslilks Woods	1	16	Iksar Skeleton	Warrior	(2099,-1775)
decaying swordsman	Kithicor Woods	35	1675	Skeleton	Warrior	(-215,1217)
decaying trooper	Kithicor Woods	30 - 32	1151 - 1191	Skeleton	Warrior	(1783,3916), (1352,3468), (1270,4103)
decaying trooper	Kithicor Woods	29	1314	Zombie	Shadow Knight	(1847,4101)
decaying warrior	Kithicor Woods	30 - 32	1151 - 1191	Skeleton	Warrior	(1429,3909), (1096,4482), (1298,3878)
deepwater barracuda, a	Lake of Ill Omen	35 - 39	2139 - 2219	Tribunal	Warrior	(-2452,2764), (-2521,2739), (-2524,2811), (-2224,1345), (-823,144)
deepwater caiman, a	Oasis of Marr	15 - 17	430 - 470	Alligator	Warrior	(1617,-568), (2005,-717), (1823,-788)
deepwater crocodile, a	Oasis of Marr	17 - 21	530 - 610	Alligator	Warrior	(1487,-799), (994,-836), (418,-717), (-83,-725)
deepwater goblin, a	Lake Rathetear	34 - 37	1823 - 1889	Goblin	Cleric	(2765,152), (2743,185), (2788,155)
deepwater goblin, a	Oasis of Marr	33 - 37	1803 - 1889	Goblin	Cleric	(-798,-15), (-783,-83), (-835,-78), (-773,-63), (-740,-49)
deepwater goblin, a	Oasis of Marr	35 - 37	1695 - 1735	Goblin	Shaman	(-835,-78), (-773,-63), (-740,-49)
deepwater goblin, a	Lake Rathetear	35	1675	Goblin	Warrior	(2788,155)
deepwater goblin, a	Oasis of Marr	33 - 37	1635 - 1885	Goblin	Warrior	(-798,-15), (-790,-46), (-783,-83)
deepwater goblin, a	Lake Rathetear	33	1803	Goblin	Wizard	(2788,155)
deepwater goblin, a	Oasis of Marr	33 - 37	1655 - 1887	Goblin	Wizard	(-779,-116), (-793,-50), (-740,-49), (-835,-78)
Deillia	Lake Rathetear	12 - 15	235 - 295	Barbarian	Rogue	(3595,-608)
Deldryn Splendyr	Butcherblock Mountains	25	810	Wood Elf	Warrior	(1428,2735)
Delila	Rathe Mountains	10	240	Citizen, Qeynos	Warrior	(4342,844)
Delin Ironblend	Butcherblock Mountains	35	1675	Dwarf	Warrior	(-145,111)
Demicla Tanner	Erudin	45	5875	Erudite	Shopkeeper	(-688,-100)
Den Ironblend	Butcherblock Mountains	35	1675	Dwarf	Warrior	(-1996,2884)
Den Magason	South Qeynos	3	37	Human	Rogue	(20,-47)
Dena Loommistress	East Commonlands	45	5875	Citizen, Qeynos	Shopkeeper	(317,4797)
Depnar Bulrious	Erudin	50 - 61	27250 - 32344	Erudite	GM Paladin	(-649,-41)
Deputy Alltin	Rivervale	30	1150	Citizen, Rivervale	Warrior	(19,-199)
Deputy Antana	Rivervale	28	960	Citizen, Rivervale	Warrior	(58,-160)
Deputy Asler	Misty Thicket	30	1150	Citizen, Rivervale	Warrior	(-93,-26)
Deputy Banto	Rivervale	25	810	Citizen, Rivervale	Warrior	(247,-201)
Deputy Beedo	Rivervale	35	1675	Citizen, Rivervale	Warrior	(85,-172)
Deputy Budo	Misty Thicket	39	2851	Citizen, Rivervale	Warrior	(-254,-265)
Deputy Cheel	Rivervale	33	1339	Citizen, Rivervale	Warrior	(95,-155)
Deputy Chopo	Rivervale	22	690	Citizen, Rivervale	Warrior	(-275,-343)
Deputy Deego	Rivervale	29	1010	Citizen, Rivervale	Warrior	(-142,-171)
Deputy Dopkin	Rivervale	33	1339	Citizen, Rivervale	Warrior	(-235,-329)
Deputy Drebo	Misty Thicket	29	1010	Citizen, Rivervale	Warrior	(-253,-260)
Deputy Eigon	Misty Thicket	30	1150	Citizen, Rivervale	Warrior	(-126,-23)
Deputy Eigon	Rivervale	30	1150	Citizen, Rivervale	Warrior	(-162,-37)
Deputy Felp	Misty Thicket	25	810	Citizen, Rivervale	Warrior	(359,-61)
Deputy Finlip	Rivervale	10	240	Citizen, Rivervale	Warrior	(317,-342)
Deputy Fozon	Rivervale	30	1150	Citizen, Rivervale	Warrior	(58,-148)
Deputy Goltin	Rivervale	32	1234	Citizen, Rivervale	Warrior	(46,-51)
Deputy Gozan	Rivervale	22	690	Citizen, Rivervale	Warrior	(124,-220)
Deputy Heepo	Rivervale	25	810	Citizen, Rivervale	Warrior	(58,-160)
Deputy Higley	Rivervale	9	210	Citizen, Rivervale	Warrior	(317,-342)
Deputy Higrin	Rivervale	35	1675	Citizen, Rivervale	Warrior	(-8,-46)
Deputy Hiltop	Rivervale	30	1150	Citizen, Rivervale	Warrior	(266,-464)
Deputy Jeggin	Rivervale	37	2179	Citizen, Rivervale	Warrior	(-8,-46)
Deputy Kapop	Rivervale	31	1171	Citizen, Rivervale	Warrior	(266,-464)
Deputy Keld	Misty Thicket	25	810	Citizen, Rivervale	Warrior	(-108,-40)
Deputy Leeot	Rivervale	30	1150	Citizen, Rivervale	Warrior	(124,-220)
Deputy Looh	Misty Thicket	27	910	Citizen, Rivervale	Warrior	(-790,-460)
Deputy Lowmot	Rivervale	37	2179	Citizen, Rivervale	Warrior	(120,-146)
Deputy Millin	Rivervale	25	810	Citizen, Rivervale	Warrior	(98,-146)
Deputy Niepo	Rivervale	30	1150	Citizen, Rivervale	Warrior	(90,-135)
Deputy Olo	Rivervale	20	610	Citizen, Rivervale	Warrior	(162,-148)
Deputy Percin	Rivervale	37	2179	Citizen, Rivervale	Warrior	(162,-148)
Deputy Pigon	Rivervale	25	810	Citizen, Rivervale	Warrior	(247,-201)
Deputy Pittin	Rivervale	28	960	Citizen, Rivervale	Warrior	(-275,-343)
Deputy Poolt	Misty Thicket	20	610	Citizen, Rivervale	Warrior	(-171,-24)
Deputy Poolt	Rivervale	20	610	Citizen, Rivervale	Warrior	(-162,-37)
Deputy Quillto	Rivervale	21	650	Citizen, Rivervale	Warrior	(-81,-258)
Deputy Raynin	Rivervale	30	1150	Citizen, Rivervale	Warrior	(19,-199)
Deputy Regno	Rivervale	29	1010	Citizen, Rivervale	Warrior	(85,-172)
Deputy Rollin	Rivervale	38	2494	Citizen, Rivervale	Warrior	(-142,-171)
Deputy Sertlin	Rivervale	20	610	Citizen, Rivervale	Warrior	(58,-148)
Deputy Shelmy	Rivervale	22	690	Citizen, Rivervale	Warrior	(-248,-134)
Deputy Tagil	Misty Thicket	32 - 61	1234 - 32000	Citizen, Rivervale	Warrior	(242,-2183), (481,-2482)
Deputy Tilo	Rivervale	30	1150	Citizen, Rivervale	Warrior	(46,-51)
Deputy Tizzin	Rivervale	32	1234	Citizen, Rivervale	Warrior	(-248,-134)
Deputy Tocat	Rivervale	24	770	Citizen, Rivervale	Warrior	(-235,-329)
Deputy Tonlo	Rivervale	19	570	Citizen, Rivervale	Warrior	(100,-137)
Deputy Vastin	Misty Thicket	30 - 61	1150 - 32000	Citizen, Rivervale	Warrior	(337,-1872), (501,-2483)
Deputy Zopo	Rivervale	31	1171	Citizen, Rivervale	Warrior	(-81,-258)
Derena Leflor	Paineel	11	270	Erudite	Warrior	(770,563)
Dervish Cutthroat, a	Northern Desert of Ro	10 - 14	260 - 360	Barbarian	Warrior	(50,370), (87,345), (1408,-349), (1298,-365)
Dervish Cutthroat, a	Oasis of Marr	10 - 14	260 - 340	Barbarian	Warrior	(-910,1126), (-935,1142), (-1450,1365), (-1471,1393), (-1497,1348)
Dervish Cutthroat, a	Southern Desert of Ro	10 - 14	260 - 360	Barbarian	Warrior	(-137,1316), (-164,1291), (99,-659), (-348,1384), (-159,1321)
Dervish Cutthroat, a	West Commonlands	10 - 14	260 - 340	Barbarian	Warrior	(1110,959), (1129,922), (1041,970), (1080,928), (968,980), (925,1013), (993,991)
Dervish Cutthroat, a	Oasis of Marr	12 - 14	164 - 204	Erudite	Wizard	(-1471,1393), (-935,1142), (-1454,1363)
Dervish Cutthroat, a	Southern Desert of Ro	10 - 14	124 - 223	Erudite	Wizard	(-63,1189), (80,-514), (99,-659), (-61,-529)
Dervish Cutthroat, a	West Commonlands	11 - 14	144 - 204	Erudite	Wizard	(993,991), (1080,928), (1127,919), (1041,970)
Dervish Cutthroat, a	Northern Desert of Ro	10 - 14	192 - 292	Human	Rogue	(47,312), (1298,-365), (35,369), (1348,-334), (144,324)
Dervish Cutthroat, a	Oasis of Marr	11 - 14	212 - 292	Human	Rogue	(-1497,1348), (-1451,1365), (-935,1142), (-910,1126)
Dervish Cutthroat, a	Southern Desert of Ro	10 - 14	192 - 292	Human	Rogue	(-159,1321), (99,-659), (-164,1291), (-237,1203), (-137,1317)
Dervish Cutthroat, a	West Commonlands	10 - 14	192 - 272	Human	Rogue	(965,985), (1110,959), (1015,930), (1129,924), (1041,970)
Dervish Cutthroat, a	Northern Desert of Ro	9 - 11	144 - 184	Ogre	Shaman	(1360,-442), (57,319), (-1220,1252)
Dervish Cutthroat, a	Oasis of Marr	9 - 11	144 - 204	Ogre	Shaman	(-1497,1348), (-903,1138)
Dervish Cutthroat, a	Southern Desert of Ro	9 - 11	163 - 204	Ogre	Shaman	(80,-685), (123,-682)
Dervish Cutthroat, a	West Commonlands	9 - 11	144 - 184	Ogre	Shaman	(1015,930), (1041,970), (963,973)
Dervish Cutthroat, a	Oasis of Marr	15	329	Orc	Cleric	(-1450,1365)
Dervish Cutthroat, a	Southern Desert of Ro	8 - 9	141 - 187	Orc	Cleric	(-137,1317), (-237,1203)
Dervish Cutthroat, a	Northern Desert of Ro	11 - 13	300 - 320	Orc	Warrior	(50,370), (87,345), (1408,-349), (1298,-365)
Dervish Cutthroat, a	Oasis of Marr	13 - 15	330 - 370	Orc	Warrior	(-910,1126), (-935,1142), (-1450,1365), (-1471,1393), (-1497,1348)
Dervish Cutthroat, a	Southern Desert of Ro	11	280 - 300	Orc	Warrior	(-137,1316), (-164,1291), (99,-659), (-348,1384), (-159,1321)
dervish cutthroat, a	Southern Desert of Ro	10 - 14	260 - 340	Orc	Warrior	(450,-704), (1023,-553), (314,-508), (-213,-46)
Dervish Cutthroat, a	West Commonlands	11 - 13	280 - 340	Orc	Warrior	(1110,959), (1129,922), (1041,970), (1080,928), (968,980), (925,1013), (993,991)
Dervish Thug, a	Northern Desert of Ro	15	410	Ogre	Warrior	(-1242,1281)
Dervish Thug, a	Oasis of Marr	15	410	Ogre	Warrior	(-903,1138)
Dervish Thug, a	Southern Desert of Ro	15	410 - 430	Ogre	Warrior	(-237,1203), (80,-685)
Dervish Thug, a	West Commonlands	15	410 - 430	Ogre	Warrior	(993,991), (974,995)
desert madman, a	Oasis of Marr	8 - 11	218 - 260	Beggar, Human	Druid	(911,-386), (490,-229), (-1444,310)
desert madman, a	Southern Desert of Ro	8 - 11	218 - 260	Beggar, Human	Druid	(1102,825), (619,-11)
desert madman, a	Oasis of Marr	8	200	Beggar, Human	Monk	(1202,388)
desert madman, a	Southern Desert of Ro	8 - 12	200 - 280	Beggar, Human	Monk	(754,65), (1054,-323), (185,180)
desert madman, a	Oasis of Marr	9	220	Beggar, Human	Warrior	(1925,515)
desert madman, a	Oasis of Marr	12	280	Beggar, Human	Wizard	(902,-570)
desert madman, a	Southern Desert of Ro	10	240	Beggar, Human	Wizard	(-179,1098)
desert tarantula, a	Northern Desert of Ro	7 - 9	170 - 210	Spider, Giant	Warrior	(829,57), (571,679), (388,-606)
desert tarantula, a	Southern Desert of Ro	7 - 9	170 - 210	Spider, Giant	Warrior	(-1767,490), (-2453,556), (614,99)
Despondo	Firiona Vie	61	30000 - 32247	Human	GM Wizard	(-4006,2620)
Devin Ashwood	Greater Faydark	10	260	Wood Elf	Ranger	(-1,403)
Devinious Natasu	Paineel	50	9550	Erudite	Shopkeeper	(675,885)
Dewis Caneal	Ak'Anon	41 - 61	3941 - 32344	Gnome	GM Necromancer	(2090,-395)
Deye Coolbreeze	Permafrost Caverns	20	11905	Barbarian	Shaman	(187,-546)
Di`zok royal guard	Chardok	49 - 54	9550 - 13266	Sarnak	Warrior	(-531,855), (-633,977), (-410,995), (-493,1064), (-614,1035), (-673,1200), (-543,1205), (-854,975), (-543,1244)
Dianax C`Luzz	Neriak - Commons	40	3250	Dark Elf	Shopkeeper	(-146,-1063)
Didek Stormhammer	South Kaladim	38 - 42	3210 - 3290	Citizen, Kaladim	Shopkeeper	(136,221)
Digetha Chogaller	Ak'Anon	42 - 61	4424 - 32344	Gnome	GM Cleric	(1183,-537)
Diggins	North Kaladim	38 - 61	2494 - 32000	Dwarf	GM Rogue	(604,227)
Dilche Orlezcha	Paineel	50	12000	Erudite	Shopkeeper	(900,470)
Dill Fireshine	Greater Faydark	49 - 61	8831 - 32000	Wood Elf	GM Ranger	(-424,520)
Dimlore Stormhammer	Steamfont Mountains	7 - 9	170 - 210	Dwarf	Warrior	(1548,-2248)
Dindaek Everhot	North Kaladim	38 - 41	3210 - 3270	Citizen, Kaladim	Shopkeeper	(392,-173)
Dionin Needlespin	Firiona Vie	40	3250 - 3325	Wood Elf	Shopkeeper	(-3641,1985)
Dionna	South Qeynos	25	810	Human	Bard	(406,-345)
dire pup, a	Permafrost Caverns	12 - 13	80 - 100	Wolf	Warrior	(270,59), (458,363)
dire wolf, a	Permafrost Caverns	17 - 20	530 - 590	Wolf	Warrior	(339,-4), (370,332), (460,263), (462,198)
Direlee Furme	North Freeport	45	5875	Citizen, Qeynos	Shopkeeper	(101,388)
Dirkog Steelhand	Plane of Sky	55	32000	Dwarf	Warrior	(1335,564)
diseased brute, a	Frontier Mountains	23	1095	Yeti	Warrior	(-2677,-2296)
diseased forest giant	Firiona Vie	27 - 28	810 - 830	Giant, Forest	Warrior	(1549,299), (-1290,2323)
diseased shark, a	Erudin	9	210	Shark	Warrior	(102,-179)
Dissa C`Luzz	Neriak - Commons	40	3250	Dark Elf	Shopkeeper	(167,-897)
Divn L`Crit	Neriak - Foreign Quarter	45	5341	Citizen, Neriak	Shadow Knight	(0,-115)
Dixl Drool	Ocean of Tears	20	610	Dark Elf	Rogue	(752,-5396)
Djerr Darkpaw	North Qeynos	3	50	Gnoll	Warrior	(1196,-376)
Dleria Mausrel	Erudin	31 - 61	1292 - 32344	Erudite	GM Cleric	(-1063,-421)
dock merchant	Rivervale	35	1675	Citizen, Rivervale	Shopkeeper	(203,-215)
Dok	Halas	45	5875	Citizen, Halas	Shopkeeper	(212,275)
Dom K`Perl	The Overthere	30	1150	Dark Elf	Shopkeeper	(3017,2193)
Dom McMarrin	Everfrost	40	3250 - 3900	Citizen, Halas	Warrior	(2087,-1126), (2047,-1124)
Dom Pathfinder	Firiona Vie	40	3250 - 3369	Wood Elf	Shopkeeper	(-2817,2686)
Donala Baris	North Freeport	45	6125 - 6219	Citizen, Qeynos	Shopkeeper	(212,-130)
Donald McQuaid	Halas	45	5875	Citizen, Halas	Shopkeeper	(93,-205)
Donlo Goobler	Rivervale	20	610	Citizen, Rivervale	Banker	(86,-172)
Donnel Ratsbome	North Kaladim	38 - 41	3210 - 3270	Citizen, Kaladim	Banker	(610,193)
Donoven Blurr	Ocean of Tears	25	810	Citizen, Qeynos	Warrior	(-2198,7769)
Dooly Jonkers	West Freeport	39 - 61	2851 - 32000	Gnome	GM Magician	(108,-643)
Dooni	South Kaladim	38 - 42	3210 - 3290	Citizen, Kaladim	Shopkeeper	(224,-253)
Doramafi Ratsbone	North Kaladim	38 - 42	3210 - 3290	Citizen, Kaladim	Shopkeeper	(710,88)
Doran Glosglen	Butcherblock Mountains	35	1675	Dwarf	Warrior	(1098,2701)
Doran Vargnus	Ocean of Tears	45	5875	Dwarf	Shopkeeper	(1280,-9251)
Dorg McMerin	Firiona Vie	40	3250	Barbarian	Shopkeeper	(-3865,1641)
Dorlita Splitshield	North Kaladim	38 - 42	3460 - 3574	Citizen, Kaladim	Shopkeeper	(736,138)
